from_node,to_node,distance,travel_time,link_type
0,20,110.73741703344265,69.21088564590166,0
20,0,110.73741703344265,69.21088564590166,0
1,5,203.55140162275515,127.21962601422196,0
5,1,203.55140162275515,127.21962601422196,0
1,988,6.0052524170639225,3.7532827606649515,0
988,1,6.0052524170639225,3.7532827606649515,0
2,1054,6.06005439155826,3.787533994723912,0
1054,2,6.06005439155826,3.787533994723912,0
3,20,103.51746729496105,64.69841705935065,0
20,3,103.51746729496105,64.69841705935065,0
3,0,11.910338498677168,7.4439615616732295,0
0,3,11.910338498677168,7.4439615616732295,0
5,989,66.04963704417162,41.28102315260726,0
989,5,66.04963704417162,41.28102315260726,0
6,4,55.40432380122164,34.627702375763526,0
4,6,55.40432380122164,34.627702375763526,0
7,1,66.2202656636715,41.38766603979468,0
1,7,66.2202656636715,41.38766603979468,0
7,1058,152.05222028504895,95.03263767815558,0
1058,7,152.05222028504895,95.03263767815558,0
8,10,374.7931907682179,234.24574423013618,0
10,8,374.7931907682179,234.24574423013618,0
8,990,53.117761091671646,33.198600682294774,0
990,8,53.117761091671646,33.198600682294774,0
9,8,35.509923281842454,22.193702051151533,0
8,9,35.509923281842454,22.193702051151533,0
10,7,217.86588477341166,136.16617798338228,0
7,10,217.86588477341166,136.16617798338228,0
11,3,106.0334030309311,66.27087689433193,0
3,11,106.0334030309311,66.27087689433193,0
11,9,31.500817443093844,19.68801090193365,0
9,11,31.500817443093844,19.68801090193365,0
12,2,57.09612477292401,35.685077983077505,0
2,12,57.09612477292401,35.685077983077505,0
14,11,287.9640867582692,179.97755422391825,0
11,14,287.9640867582692,179.97755422391825,0
14,9,259.07923885346435,161.9245242834152,0
9,14,259.07923885346435,161.9245242834152,0
15,13,32.820379475987856,20.512737172492407,0
13,15,32.820379475987856,20.512737172492407,0
15,21,26.293124556516016,16.43320284782251,0
21,15,26.293124556516016,16.43320284782251,0
19,15,24.81493849440997,15.509336559006229,0
15,19,24.81493849440997,15.509336559006229,0
20,26,32.11357749844552,20.07098593652845,0
26,20,32.11357749844552,20.07098593652845,0
20,11,106.80447098913693,66.75279436821057,0
11,20,106.80447098913693,66.75279436821057,0
21,13,42.716417563794636,26.697760977371647,0
13,21,42.716417563794636,26.697760977371647,0
22,20,21.076694172833786,13.172933858021116,0
20,22,21.076694172833786,13.172933858021116,0
22,19,22.814664811450726,14.259165507156704,0
19,22,22.814664811450726,14.259165507156704,0
26,16,53.49844253300984,33.43652658313115,0
16,26,53.49844253300984,33.43652658313115,0
26,22,23.06830402884627,14.41769001802892,0
22,26,23.06830402884627,14.41769001802892,0
26,76,291.1538406932371,181.97115043327318,0
76,26,291.1538406932371,181.97115043327318,0
28,19,37.46558314334134,23.415989464588336,0
19,28,37.46558314334134,23.415989464588336,0
28,22,26.34699875946404,16.466874224665023,0
22,28,26.34699875946404,16.466874224665023,0
29,1045,70.84704158081468,44.27940098800917,0
1045,29,70.84704158081468,44.27940098800917,0
29,1062,16.650511756135625,10.406569847584764,0
1062,29,16.650511756135625,10.406569847584764,0
30,31,146.19550261518393,91.37218913448994,0
31,30,146.19550261518393,91.37218913448994,0
30,1049,78.96775694639177,49.35484809149486,0
1049,30,78.96775694639177,49.35484809149486,0
30,984,19.053477432608723,11.908423395380451,0
984,30,19.053477432608723,11.908423395380451,0
